S/N 	 Start (s) 	 Note
309	68.8	1000Hz
310	69	3000Hz
311	69.2	1000Hz
312	69.4	1000Hz
313	69.6	3000Hz
314	70	1000Hz
315	70.2	3000Hz
316	70.6	1000Hz
317	70.8	1000Hz
318	71	1000Hz
319	71.2	3000Hz
320	71.6	1000Hz
321	71.8	1000Hz
322	72	1000Hz
323	72.2	1000Hz
324	72.4	1000Hz
325	72.6	1000Hz
326	72.8	1000Hz
327	73	1000Hz
328	73.2	1000Hz
329	73.4	1000Hz
330	73.6	1000Hz
331	73.8	1000Hz
332	74	1000Hz
333	74.2	1000Hz
334	74.4	1000Hz
335	74.6	1000Hz
336	74.8	1000Hz
337	75	1000Hz
338	75.2	1000Hz
339	75.4	1000Hz
340	75.6	1000Hz
341	75.8	1000Hz
342	76	3000Hz
343	76.2	1000Hz
344	76.4	1000Hz
345	76.6	1000Hz
346	76.8	1000Hz
347	77	1000Hz
348	77.2	1000Hz
349	77.4	1000Hz
350	77.6	1000Hz
351	77.8	1000Hz
352	78	1000Hz
353	78.2	1000Hz
354	78.4	1000Hz
355	78.6	1000Hz
356	78.8	3000Hz
357	79	1000Hz
358	79.2	1000Hz
359	79.4	3000Hz
360	79.6	3000Hz
361	80	1000Hz
362	80.2	1000Hz
363	80.4	1000Hz
364	80.6	1000Hz
365	80.8	1000Hz
366	81	1000Hz
367	81.2	1000Hz
368	81.4	1000Hz
369	81.6	3000Hz
370	81.8	1000Hz
371	82	1000Hz
372	82.2	1000Hz
373	82.4	3000Hz
374	82.6	3000Hz
375	83	1000Hz
376	83.2	3000Hz
377	83.6	1000Hz
378	83.8	1000Hz
379	84	3000Hz
380	84.4	1000Hz
381	84.6	1000Hz
382	84.8	3000Hz
383	85	1000Hz
384	85.2	1000Hz
385	85.4	1000Hz
386	85.6	1000Hz
387	85.8	1000Hz
388	86	3000Hz
389	86.2	3000Hz
390	86.6	1000Hz
391	86.8	3000Hz
392	87	1000Hz
393	87.2	1000Hz
394	87.4	1000Hz
395	87.6	3000Hz
396	87.8	1000Hz
397	88	1000Hz
398	88.2	1000Hz
399	88.4	1000Hz
400	88.6	3000Hz
401	89	1000Hz
402	89.2	1000Hz
403	89.4	3000Hz
404	89.6	1000Hz
405	89.8	1000Hz
406	90	1000Hz
407	90.2	1000Hz
408	90.4	1000Hz
409	90.6	1000Hz
410	90.8	1000Hz
411	91	1000Hz
412	91.2	3000Hz
413	91.6	1000Hz
414	91.8	1000Hz
415	92	1000Hz
416	92.2	3000Hz
417	92.6	1000Hz
418	92.8	3000Hz
419	93	1000Hz
420	93.2	1000Hz
421	93.4	3000Hz
422	93.8	1000Hz
423	94	1000Hz
424	94.2	1000Hz
425	94.4	1000Hz
426	94.6	1000Hz
427	94.8	1000Hz
428	95	3000Hz
429	95.2	1000Hz
430	95.4	1000Hz
431	95.6	1000Hz
432	95.8	1000Hz
433	96	1000Hz
434	96.2	1000Hz
435	96.4	1000Hz
436	96.6	1000Hz
437	96.8	1000Hz
438	97	3000Hz
439	97.2	1000Hz
440	97.4	1000Hz
441	97.6	1000Hz
442	97.8	1000Hz
443	98	1000Hz
444	98.2	1000Hz
445	98.4	3000Hz
446	98.6	1000Hz
447	98.8	1000Hz
448	99	1000Hz
449	99.2	3000Hz
450	99.4	3000Hz
451	99.8	1000Hz
452	100	1000Hz
453	100.2	1000Hz
454	100.4	1000Hz
455	100.6	1000Hz
456	100.8	1000Hz
457	101	1000Hz
458	101.2	1000Hz
459	101.4	1000Hz
460	101.6	1000Hz
461	101.8	1000Hz
462	102	3000Hz
463	102.4	1000Hz
464	102.6	1000Hz
465	102.8	3000Hz
466	103.2	3000Hz
467	103.4	1000Hz
468	103.6	3000Hz
469	103.8	1000Hz
470	104	1000Hz
471	104.2	1000Hz
472	104.4	1000Hz
473	104.6	1000Hz
474	104.8	1000Hz
475	105	1000Hz
476	105.2	1000Hz
477	105.4	1000Hz
478	105.6	1000Hz
479	105.8	3000Hz
480	106	1000Hz
481	106.2	3000Hz
482	106.4	1000Hz
483	106.6	1000Hz
484	106.8	3000Hz
485	107.2	1000Hz
486	107.4	1000Hz
487	107.6	1000Hz
488	107.8	1000Hz
489	108	1000Hz
490	108.2	1000Hz
491	108.4	1000Hz
492	108.6	3000Hz
493	108.8	1000Hz
494	109	3000Hz
495	109.2	3000Hz
496	109.6	1000Hz
497	109.8	1000Hz
498	110	1000Hz
499	110.2	1000Hz
500	110.4	1000Hz
501	110.6	1000Hz
502	110.8	1000Hz
503	111	1000Hz
504	111.2	1000Hz
505	111.4	1000Hz
506	111.6	1000Hz
507	111.8	1000Hz
508	112	1000Hz
509	112.2	1000Hz
510	112.4	1000Hz
511	112.6	3000Hz
512	112.8	1000Hz
513	113	1000Hz
514	113.2	1000Hz
515	113.4	3000Hz
516	113.6	1000Hz
517	113.8	1000Hz
518	114	1000Hz
519	114.2	1000Hz
520	114.4	1000Hz
521	114.6	1000Hz
522	114.8	3000Hz
523	115	1000Hz
524	115.2	1000Hz
525	115.4	1000Hz
526	115.6	1000Hz
527	115.8	3000Hz
528	116.2	3000Hz
529	116.6	1000Hz
530	116.8	3000Hz
531	117	1000Hz
532	117.2	1000Hz
533	117.4	3000Hz
534	117.6	1000Hz
535	117.8	1000Hz
536	118	1000Hz
537	118.2	1000Hz
538	118.4	1000Hz
539	118.6	3000Hz
540	118.8	1000Hz
541	119	1000Hz
542	119.2	1000Hz
543	119.4	1000Hz
544	119.6	1000Hz
545	119.8	3000Hz
546	120.2	3000Hz
547	120.4	1000Hz
548	120.6	1000Hz
549	120.8	1000Hz
550	121	1000Hz
551	121.2	1000Hz
552	121.4	1000Hz
553	121.6	1000Hz
554	121.8	1000Hz
555	122	1000Hz
556	122.2	1000Hz
557	122.4	1000Hz
558	122.6	1000Hz
559	122.8	1000Hz
560	123	1000Hz
561	123.2	3000Hz
562	123.6	3000Hz
563	124	1000Hz
564	124.2	1000Hz
565	124.4	3000Hz
566	124.6	1000Hz
567	124.8	1000Hz
568	125	3000Hz
569	125.4	1000Hz
570	125.6	1000Hz
571	125.8	1000Hz
572	126	1000Hz
573	126.2	1000Hz
574	126.4	1000Hz
575	126.6	1000Hz
576	126.8	1000Hz
577	127	1000Hz
578	127.2	1000Hz
579	127.4	1000Hz
580	127.6	3000Hz
581	127.8	1000Hz
582	128	3000Hz
583	128.2	1000Hz
584	128.4	1000Hz
585	128.6	1000Hz
586	128.8	1000Hz
587	129	1000Hz
588	129.2	1000Hz
589	129.4	3000Hz
590	129.6	1000Hz
591	129.8	1000Hz
592	130	3000Hz
593	130.2	1000Hz
594	130.4	1000Hz
595	130.6	1000Hz
596	130.8	1000Hz
597	131	1000Hz
598	131.2	1000Hz
599	131.4	3000Hz
600	131.8	1000Hz
