S/N 	 Start (s) 	 Note
258	56.4	3000Hz
259	56.6	1000Hz
264	57.6	3000Hz
265	58	1000Hz
268	58.6	3000Hz
269	58.8	1000Hz
279	60.8	3000Hz
280	61.2	1000Hz
282	61.6	3000Hz
283	62	1000Hz
290	63.4	3000Hz
291	63.6	1000Hz
298	65	3000Hz
299	65.2	1000Hz
302	65.8	3000Hz
303	66	1000Hz
308	67	3000Hz
309	67.4	1000Hz
313	68.2	3000Hz
314	68.4	1000Hz
315	68.6	3000Hz
316	68.8	1000Hz
319	69.4	3000Hz
321	70.2	3000Hz
322	70.4	1000Hz
323	70.6	3000Hz
324	71	1000Hz
326	71.4	3000Hz
327	71.8	1000Hz
328	72	3000Hz
329	72.4	1000Hz
331	72.8	3000Hz
332	73	1000Hz
336	73.8	3000Hz
337	74.2	1000Hz
340	74.8	3000Hz
341	75.2	1000Hz
345	76	3000Hz
346	76.2	1000Hz
368	80.6	3000Hz
369	81	1000Hz
373	81.8	3000Hz
374	82.2	1000Hz
378	83	3000Hz
380	83.4	1000Hz
384	84.2	3000Hz
385	84.6	1000Hz
386	84.8	3000Hz
387	85.2	1000Hz
389	85.6	3000Hz
390	86	3000Hz
391	86.2	1000Hz
394	86.8	3000Hz
395	87.2	1000Hz
403	88.8	3000Hz
404	89	1000Hz
408	89.8	3000Hz
409	90.2	1000Hz
410	90.4	3000Hz
411	90.6	1000Hz
413	91	3000Hz
415	91.8	1000Hz
416	92	3000Hz
417	92.2	1000Hz
419	92.6	3000Hz
420	93	1000Hz
425	94	3000Hz
426	94.2	1000Hz
427	94.4	3000Hz
428	94.6	1000Hz
434	95.8	3000Hz
435	96	1000Hz
446	98.2	3000Hz
447	98.6	1000Hz
450	99.2	3000Hz
451	99.6	1000Hz
453	100	3000Hz
454	100.4	1000Hz
455	100.6	3000Hz
456	100.8	1000Hz
457	101	3000Hz
458	101.2	1000Hz
464	102.4	3000Hz
467	103.6	1000Hz
473	104.8	3000Hz
474	105	1000Hz
477	105.6	3000Hz
478	105.8	1000Hz
483	106.8	3000Hz
484	107.2	3000Hz
485	107.4	1000Hz
490	108.4	3000Hz
491	108.6	1000Hz
495	109.4	3000Hz
496	109.8	1000Hz
498	110.2	3000Hz
499	110.4	1000Hz
501	110.8	3000Hz
502	111.2	1000Hz
506	112	3000Hz
507	112.2	1000Hz
510	112.8	3000Hz
511	113.2	1000Hz
513	113.6	3000Hz
514	114	1000Hz
518	114.8	3000Hz
519	115.2	1000Hz
528	117	3000Hz
529	117.4	1000Hz
532	118	3000Hz
533	118.2	1000Hz
550	121.6	3000Hz
551	122	1000Hz
552	122.2	3000Hz
554	122.6	1000Hz
559	123.6	3000Hz
560	123.8	1000Hz
562	124.2	3000Hz
563	124.6	1000Hz
564	124.8	3000Hz
565	125	1000Hz
579	127.8	3000Hz
580	128.2	1000Hz
582	128.6	3000Hz
583	129	1000Hz
589	130.2	3000Hz
590	130.6	1000Hz
596	131.8	3000Hz
598	132.6	1000Hz
602	133.4	3000Hz
603	133.6	1000Hz
604	133.8	3000Hz
606	134.2	1000Hz
612	135.4	3000Hz
613	135.6	1000Hz
614	135.8	3000Hz
615	136	3000Hz
616	136.4	1000Hz
619	137	3000Hz
620	137.4	1000Hz
621	137.6	3000Hz
622	138	1000Hz
623	138.2	3000Hz
624	138.4	1000Hz
630	139.6	3000Hz
631	140	1000Hz
632	140.2	3000Hz
633	140.4	1000Hz
634	140.6	3000Hz
635	140.8	1000Hz
645	142.8	3000Hz
646	143.2	1000Hz
652	144.4	3000Hz
653	144.8	1000Hz
655	145.2	3000Hz
656	145.6	1000Hz
657	145.8	3000Hz
658	146	1000Hz
660	146.4	3000Hz
661	146.8	1000Hz
669	148.4	3000Hz
670	148.6	1000Hz
683	151.2	3000Hz
685	151.6	1000Hz
698	154.2	3000Hz
699	154.6	1000Hz
700	154.8	3000Hz
701	155	1000Hz
702	155.2	3000Hz
703	155.6	1000Hz
706	156.2	3000Hz
707	156.4	1000Hz
717	158.4	3000Hz
718	158.8	1000Hz
726	160.4	3000Hz
727	160.6	1000Hz
730	161.2	3000Hz
731	161.6	1000Hz
756	166.6	3000Hz
757	166.8	1000Hz
763	168	3000Hz
764	168.4	3000Hz
765	168.6	1000Hz
766	168.8	3000Hz
767	169	1000Hz
780	171.6	3000Hz
781	171.8	1000Hz
785	172.6	3000Hz
786	172.8	1000Hz
788	173.2	3000Hz
789	173.4	1000Hz
790	173.6	3000Hz
791	174	1000Hz
797	175.2	3000Hz
798	175.4	1000Hz
