S/N 	 Start (s) 	 Note
309	68.8	1000Hz
310	69	1000Hz
311	69.2	3000Hz
312	69.6	3000Hz
313	69.8	1000Hz
314	70	3000Hz
315	70.2	1000Hz
316	70.4	1000Hz
317	70.6	1000Hz
318	70.8	1000Hz
319	71	1000Hz
320	71.2	1000Hz
321	71.4	1000Hz
322	71.6	1000Hz
323	71.8	1000Hz
324	72	1000Hz
325	72.2	1000Hz
326	72.4	1000Hz
327	72.6	3000Hz
328	72.8	1000Hz
329	73	1000Hz
330	73.2	1000Hz
331	73.4	1000Hz
332	73.6	1000Hz
333	73.8	1000Hz
334	74	1000Hz
335	74.2	1000Hz
336	74.4	1000Hz
337	74.6	1000Hz
338	74.8	1000Hz
339	75	1000Hz
340	75.2	1000Hz
341	75.4	1000Hz
342	75.6	1000Hz
343	75.8	1000Hz
344	76	1000Hz
345	76.2	3000Hz
346	76.6	1000Hz
347	76.8	1000Hz
348	77	1000Hz
349	77.2	1000Hz
350	77.4	1000Hz
351	77.6	3000Hz
352	78	1000Hz
353	78.2	3000Hz
354	78.4	3000Hz
355	78.6	1000Hz
356	78.8	1000Hz
357	79	1000Hz
358	79.2	1000Hz
359	79.4	3000Hz
360	79.8	1000Hz
361	80	1000Hz
362	80.2	1000Hz
363	80.4	1000Hz
364	80.6	1000Hz
365	80.8	1000Hz
366	81	1000Hz
367	81.2	1000Hz
368	81.4	1000Hz
369	81.6	3000Hz
370	81.8	1000Hz
371	82	1000Hz
372	82.2	1000Hz
373	82.4	1000Hz
374	82.6	1000Hz
375	82.8	1000Hz
376	83	1000Hz
377	83.2	1000Hz
378	83.4	3000Hz
379	83.6	1000Hz
380	83.8	1000Hz
381	84	1000Hz
382	84.2	1000Hz
383	84.4	1000Hz
384	84.6	1000Hz
385	84.8	1000Hz
386	85	1000Hz
387	85.2	1000Hz
388	85.4	1000Hz
389	85.6	1000Hz
390	85.8	1000Hz
391	86	1000Hz
392	86.2	3000Hz
393	86.4	1000Hz
394	86.6	1000Hz
395	86.8	1000Hz
396	87	1000Hz
397	87.2	1000Hz
398	87.4	1000Hz
399	87.6	3000Hz
400	88	1000Hz
401	88.2	3000Hz
402	88.6	1000Hz
403	88.8	1000Hz
404	89	1000Hz
405	89.2	1000Hz
406	89.4	1000Hz
407	89.6	1000Hz
408	89.8	3000Hz
409	90	1000Hz
410	90.2	1000Hz
411	90.4	1000Hz
412	90.6	1000Hz
413	90.8	1000Hz
414	91	1000Hz
415	91.2	1000Hz
416	91.4	1000Hz
417	91.6	1000Hz
418	91.8	1000Hz
419	92	1000Hz
420	92.2	1000Hz
421	92.4	3000Hz
422	92.8	1000Hz
423	93	1000Hz
424	93.2	1000Hz
425	93.4	1000Hz
426	93.6	1000Hz
427	93.8	1000Hz
428	94	3000Hz
429	94.4	1000Hz
430	94.6	1000Hz
431	94.8	1000Hz
432	95	1000Hz
433	95.2	1000Hz
434	95.4	1000Hz
435	95.6	3000Hz
436	95.8	3000Hz
437	96	1000Hz
438	96.2	3000Hz
439	96.6	3000Hz
440	96.8	1000Hz
441	97	1000Hz
442	97.2	3000Hz
443	97.6	1000Hz
444	97.8	1000Hz
445	98	1000Hz
446	98.2	1000Hz
447	98.4	1000Hz
448	98.6	1000Hz
449	98.8	1000Hz
450	99	1000Hz
451	99.2	1000Hz
452	99.4	1000Hz
453	99.6	1000Hz
454	99.8	1000Hz
455	100	1000Hz
456	100.2	1000Hz
457	100.4	1000Hz
458	100.6	3000Hz
459	100.8	1000Hz
460	101	1000Hz
461	101.2	3000Hz
462	101.4	1000Hz
463	101.6	1000Hz
464	101.8	1000Hz
465	102	3000Hz
466	102.2	3000Hz
467	102.6	1000Hz
468	102.8	1000Hz
469	103	1000Hz
470	103.2	1000Hz
471	103.4	1000Hz
472	103.6	1000Hz
473	103.8	3000Hz
474	104	1000Hz
475	104.2	1000Hz
476	104.4	1000Hz
477	104.6	1000Hz
478	104.8	1000Hz
479	105	3000Hz
480	105.2	1000Hz
481	105.4	1000Hz
482	105.6	1000Hz
483	105.8	1000Hz
484	106	3000Hz
485	106.4	3000Hz
486	106.6	1000Hz
487	106.8	3000Hz
488	107.2	1000Hz
489	107.4	1000Hz
490	107.6	1000Hz
491	107.8	3000Hz
492	108.2	1000Hz
493	108.4	1000Hz
494	108.6	1000Hz
495	108.8	1000Hz
496	109	1000Hz
497	109.2	1000Hz
498	109.4	1000Hz
499	109.6	1000Hz
500	109.8	1000Hz
501	110	1000Hz
502	110.2	1000Hz
503	110.4	1000Hz
504	110.6	1000Hz
505	110.8	1000Hz
506	111	3000Hz
507	111.4	1000Hz
508	111.6	1000Hz
509	111.8	1000Hz
510	112	3000Hz
511	112.2	1000Hz
512	112.4	1000Hz
513	112.6	1000Hz
514	112.8	3000Hz
515	113.2	1000Hz
516	113.4	1000Hz
517	113.6	3000Hz
518	113.8	1000Hz
519	114	1000Hz
520	114.2	1000Hz
521	114.4	1000Hz
522	114.6	1000Hz
523	114.8	3000Hz
524	115	3000Hz
525	115.2	1000Hz
526	115.4	1000Hz
527	115.6	1000Hz
528	115.8	1000Hz
529	116	1000Hz
530	116.2	1000Hz
531	116.4	3000Hz
532	116.8	3000Hz
533	117.2	3000Hz
534	117.6	1000Hz
535	117.8	1000Hz
536	118	1000Hz
537	118.2	1000Hz
538	118.4	1000Hz
539	118.6	1000Hz
540	118.8	1000Hz
541	119	1000Hz
542	119.2	1000Hz
543	119.4	1000Hz
544	119.6	1000Hz
545	119.8	1000Hz
546	120	3000Hz
547	120.2	1000Hz
548	120.4	1000Hz
549	120.6	3000Hz
550	120.8	1000Hz
551	121	3000Hz
552	121.4	1000Hz
553	121.6	1000Hz
554	121.8	1000Hz
555	122	1000Hz
556	122.2	3000Hz
557	122.4	1000Hz
558	122.6	3000Hz
559	123	1000Hz
560	123.2	1000Hz
561	123.4	1000Hz
562	123.6	1000Hz
563	123.8	3000Hz
564	124	1000Hz
565	124.2	1000Hz
566	124.4	1000Hz
567	124.6	1000Hz
568	124.8	1000Hz
569	125	1000Hz
570	125.2	1000Hz
571	125.4	1000Hz
572	125.6	1000Hz
573	125.8	3000Hz
574	126	1000Hz
575	126.2	1000Hz
576	126.4	1000Hz
577	126.6	1000Hz
578	126.8	1000Hz
579	127	1000Hz
580	127.2	1000Hz
581	127.4	1000Hz
582	127.6	1000Hz
583	127.8	1000Hz
584	128	3000Hz
585	128.4	3000Hz
586	128.8	1000Hz
587	129	3000Hz
588	129.2	1000Hz
589	129.4	1000Hz
590	129.6	1000Hz
591	129.8	3000Hz
592	130.2	1000Hz
593	130.4	1000Hz
594	130.6	1000Hz
595	130.8	3000Hz
596	131	1000Hz
597	131.2	1000Hz
598	131.4	1000Hz
599	131.6	1000Hz
600	131.8	1000Hz
