S/N 	 Start (s) 	 Note
299	65.2	1000Hz
300	65.4	3000Hz
301	65.6	1000Hz
302	65.8	1000Hz
303	66	1000Hz
304	66.2	1000Hz
305	66.4	1000Hz
306	66.6	1000Hz
307	66.8	1000Hz
308	67	1000Hz
309	67.2	1000Hz
310	67.4	1000Hz
311	67.6	1000Hz
312	67.8	1000Hz
313	68	1000Hz
314	68.2	1000Hz
315	68.4	1000Hz
316	68.6	1000Hz
317	68.8	1000Hz
318	69	1000Hz
319	69.2	1000Hz
320	69.4	3000Hz
321	69.6	3000Hz
322	70	1000Hz
323	70.2	1000Hz
324	70.4	1000Hz
325	70.6	1000Hz
326	70.8	1000Hz
327	71	1000Hz
328	71.2	1000Hz
329	71.4	3000Hz
330	71.8	3000Hz
331	72	1000Hz
332	72.2	1000Hz
333	72.4	3000Hz
334	72.6	1000Hz
335	72.8	1000Hz
336	73	1000Hz
337	73.2	1000Hz
338	73.4	3000Hz
339	73.8	1000Hz
340	74	1000Hz
341	74.2	1000Hz
342	74.4	1000Hz
343	74.6	1000Hz
344	74.8	3000Hz
345	75	3000Hz
346	75.4	1000Hz
347	75.6	3000Hz
348	76	1000Hz
349	76.2	1000Hz
350	76.4	1000Hz
351	76.6	1000Hz
352	76.8	1000Hz
353	77	3000Hz
354	77.4	1000Hz
355	77.6	1000Hz
356	77.8	1000Hz
357	78	1000Hz
358	78.2	1000Hz
359	78.4	1000Hz
360	78.6	1000Hz
361	78.8	3000Hz
362	79	1000Hz
363	79.2	1000Hz
364	79.4	1000Hz
365	79.6	1000Hz
366	79.8	1000Hz
367	80	1000Hz
368	80.2	1000Hz
369	80.4	3000Hz
370	80.6	1000Hz
371	80.8	3000Hz
372	81.2	1000Hz
373	81.4	1000Hz
374	81.6	3000Hz
375	82	1000Hz
376	82.2	1000Hz
377	82.4	1000Hz
378	82.6	1000Hz
379	82.8	1000Hz
380	83	1000Hz
381	83.2	1000Hz
382	83.4	3000Hz
383	83.8	1000Hz
384	84	1000Hz
385	84.2	1000Hz
386	84.4	3000Hz
387	84.8	3000Hz
388	85.2	1000Hz
389	85.4	1000Hz
390	85.6	3000Hz
391	86	1000Hz
392	86.2	1000Hz
393	86.4	1000Hz
394	86.6	3000Hz
395	86.8	1000Hz
396	87	1000Hz
397	87.2	1000Hz
398	87.4	1000Hz
399	87.6	1000Hz
400	87.8	3000Hz
401	88.2	1000Hz
402	88.4	1000Hz
403	88.6	1000Hz
404	88.8	3000Hz
405	89.2	1000Hz
406	89.4	1000Hz
407	89.6	3000Hz
408	89.8	1000Hz
409	90	3000Hz
410	90.2	1000Hz
411	90.4	1000Hz
412	90.6	1000Hz
413	90.8	1000Hz
414	91	3000Hz
415	91.2	1000Hz
416	91.4	1000Hz
417	91.6	1000Hz
418	91.8	1000Hz
419	92	3000Hz
420	92.2	1000Hz
421	92.4	1000Hz
422	92.6	3000Hz
423	93	1000Hz
424	93.2	1000Hz
425	93.4	3000Hz
426	93.6	1000Hz
427	93.8	1000Hz
428	94	1000Hz
429	94.2	3000Hz
430	94.6	1000Hz
431	94.8	1000Hz
432	95	1000Hz
433	95.2	3000Hz
434	95.4	1000Hz
435	95.6	3000Hz
436	95.8	1000Hz
437	96	1000Hz
438	96.2	1000Hz
439	96.4	1000Hz
440	96.6	1000Hz
441	96.8	1000Hz
442	97	3000Hz
443	97.2	3000Hz
444	97.6	1000Hz
445	97.8	1000Hz
446	98	1000Hz
447	98.2	1000Hz
448	98.4	1000Hz
449	98.6	1000Hz
450	98.8	1000Hz
451	99	1000Hz
452	99.2	1000Hz
453	99.4	3000Hz
454	99.8	3000Hz
455	100.2	1000Hz
456	100.4	3000Hz
457	100.8	1000Hz
458	101	3000Hz
459	101.2	1000Hz
460	101.4	3000Hz
461	101.8	3000Hz
462	102.2	1000Hz
463	102.4	1000Hz
464	102.6	1000Hz
465	102.8	3000Hz
466	103	3000Hz
467	103.2	1000Hz
468	103.4	1000Hz
469	103.6	1000Hz
470	103.8	1000Hz
471	104	1000Hz
472	104.2	3000Hz
473	104.4	1000Hz
474	104.6	1000Hz
475	104.8	1000Hz
476	105	1000Hz
477	105.2	3000Hz
478	105.6	1000Hz
479	105.8	3000Hz
480	106.2	1000Hz
481	106.4	1000Hz
482	106.6	1000Hz
483	106.8	1000Hz
484	107	1000Hz
485	107.2	1000Hz
486	107.4	1000Hz
487	107.6	1000Hz
488	107.8	1000Hz
489	108	1000Hz
490	108.2	1000Hz
491	108.4	1000Hz
492	108.6	1000Hz
493	108.8	1000Hz
494	109	3000Hz
495	109.2	1000Hz
496	109.4	1000Hz
497	109.6	1000Hz
498	109.8	1000Hz
499	110	1000Hz
500	110.2	1000Hz
501	110.4	1000Hz
502	110.6	1000Hz
503	110.8	1000Hz
504	111	1000Hz
505	111.2	1000Hz
506	111.4	1000Hz
507	111.6	1000Hz
508	111.8	1000Hz
509	112	1000Hz
510	112.2	3000Hz
511	112.6	1000Hz
512	112.8	1000Hz
513	113	1000Hz
514	113.2	1000Hz
515	113.4	3000Hz
516	113.8	1000Hz
517	114	1000Hz
518	114.2	1000Hz
519	114.4	3000Hz
520	114.6	1000Hz
521	114.8	1000Hz
522	115	1000Hz
523	115.2	3000Hz
524	115.4	1000Hz
525	115.6	1000Hz
526	115.8	1000Hz
527	116	1000Hz
528	116.2	1000Hz
529	116.4	1000Hz
530	116.6	1000Hz
531	116.8	1000Hz
532	117	1000Hz
533	117.2	1000Hz
534	117.4	1000Hz
535	117.6	1000Hz
536	117.8	1000Hz
537	118	1000Hz
538	118.2	1000Hz
539	118.4	1000Hz
540	118.6	1000Hz
541	118.8	1000Hz
542	119	1000Hz
543	119.2	3000Hz
544	119.4	1000Hz
545	119.6	1000Hz
546	119.8	1000Hz
547	120	1000Hz
548	120.2	1000Hz
549	120.4	1000Hz
550	120.6	1000Hz
551	120.8	1000Hz
552	121	1000Hz
553	121.2	1000Hz
554	121.4	1000Hz
555	121.6	1000Hz
556	121.8	1000Hz
557	122	1000Hz
558	122.2	1000Hz
559	122.4	1000Hz
560	122.6	1000Hz
561	122.8	1000Hz
562	123	1000Hz
563	123.2	1000Hz
564	123.4	3000Hz
565	123.8	1000Hz
566	124	1000Hz
567	124.2	1000Hz
568	124.4	3000Hz
569	124.6	1000Hz
570	124.8	1000Hz
571	125	1000Hz
572	125.2	3000Hz
573	125.6	1000Hz
574	125.8	1000Hz
575	126	1000Hz
576	126.2	3000Hz
577	126.4	1000Hz
578	126.6	1000Hz
579	126.8	1000Hz
580	127	3000Hz
581	127.4	1000Hz
582	127.6	1000Hz
583	127.8	3000Hz
584	128.2	3000Hz
585	128.4	1000Hz
586	128.6	1000Hz
587	128.8	1000Hz
588	129	1000Hz
589	129.2	1000Hz
590	129.4	1000Hz
591	129.6	1000Hz
592	129.8	3000Hz
593	130	3000Hz
594	130.4	1000Hz
595	130.6	3000Hz
596	130.8	1000Hz
597	131	1000Hz
598	131.2	1000Hz
599	131.4	3000Hz
600	131.8	1000Hz
