S/N 	 Start (s) 	 Note
115	25.8	3000Hz
116	26	1000Hz
117	26.2	1000Hz
118	26.4	1000Hz
119	26.6	1000Hz
120	26.8	1000Hz
121	27	1000Hz
122	27.2	1000Hz
123	27.4	1000Hz
124	27.6	1000Hz
125	27.8	3000Hz
126	28.2	1000Hz
127	28.4	3000Hz
128	28.8	1000Hz
129	29	1000Hz
130	29.2	1000Hz
131	29.4	1000Hz
132	29.6	1000Hz
133	29.8	1000Hz
134	30	1000Hz
135	30.2	1000Hz
136	30.4	1000Hz
137	30.6	1000Hz
138	30.8	1000Hz
139	31	3000Hz
140	31.4	1000Hz
141	31.6	1000Hz
142	31.8	1000Hz
143	32	1000Hz
144	32.2	1000Hz
145	32.4	1000Hz
146	32.6	1000Hz
147	32.8	1000Hz
148	33	3000Hz
149	33.4	1000Hz
150	33.6	1000Hz
151	33.8	1000Hz
152	34	1000Hz
153	34.2	1000Hz
154	34.4	1000Hz
155	34.6	3000Hz
156	35	1000Hz
157	35.2	1000Hz
158	35.4	1000Hz
159	35.6	1000Hz
160	35.8	1000Hz
161	36	1000Hz
162	36.2	1000Hz
163	36.4	1000Hz
164	36.6	3000Hz
165	37	1000Hz
166	37.2	1000Hz
167	37.4	3000Hz
168	37.6	1000Hz
169	37.8	1000Hz
170	38	3000Hz
171	38.4	3000Hz
172	38.8	1000Hz
173	39	1000Hz
174	39.2	1000Hz
175	39.4	1000Hz
176	39.6	1000Hz
177	39.8	1000Hz
178	40	1000Hz
179	40.2	3000Hz
180	40.4	1000Hz
181	40.6	1000Hz
182	40.8	1000Hz
183	41	1000Hz
184	41.2	1000Hz
185	41.4	1000Hz
186	41.6	1000Hz
187	41.8	1000Hz
188	42	1000Hz
189	42.2	1000Hz
190	42.4	1000Hz
191	42.6	1000Hz
192	42.8	1000Hz
193	43	1000Hz
194	43.2	1000Hz
195	43.4	1000Hz
196	43.6	1000Hz
197	43.8	1000Hz
198	44	1000Hz
199	44.2	1000Hz
200	44.4	1000Hz
201	44.6	3000Hz
202	45	1000Hz
203	45.2	1000Hz
204	45.4	1000Hz
205	45.6	1000Hz
206	45.8	1000Hz
207	46	1000Hz
208	46.2	1000Hz
209	46.4	1000Hz
210	46.6	1000Hz
211	46.8	1000Hz
212	47	1000Hz
213	47.2	3000Hz
214	47.4	3000Hz
215	47.6	1000Hz
216	47.8	1000Hz
217	48	1000Hz
218	48.2	3000Hz
219	48.4	1000Hz
220	48.6	1000Hz
221	48.8	3000Hz
222	49.2	1000Hz
223	49.4	3000Hz
224	49.6	1000Hz
225	49.8	1000Hz
226	50	1000Hz
227	50.2	1000Hz
228	50.4	1000Hz
229	50.6	3000Hz
230	50.8	1000Hz
231	51	1000Hz
232	51.2	1000Hz
233	51.4	1000Hz
234	51.6	1000Hz
235	51.8	3000Hz
236	52	1000Hz
237	52.2	1000Hz
238	52.4	1000Hz
239	52.6	1000Hz
240	52.8	1000Hz
241	53	1000Hz
242	53.2	3000Hz
243	53.4	1000Hz
244	53.6	3000Hz
245	54	1000Hz
246	54.2	3000Hz
247	54.6	1000Hz
248	54.8	1000Hz
249	55	1000Hz
250	55.2	1000Hz
251	55.4	1000Hz
252	55.6	1000Hz
253	55.8	3000Hz
254	56	1000Hz
255	56.2	1000Hz
256	56.4	1000Hz
257	56.6	3000Hz
258	57	3000Hz
259	57.2	1000Hz
260	57.4	3000Hz
261	57.6	1000Hz
262	57.8	1000Hz
263	58	1000Hz
264	58.2	1000Hz
265	58.4	3000Hz
266	58.8	1000Hz
267	59	1000Hz
268	59.2	1000Hz
269	59.4	1000Hz
270	59.6	1000Hz
271	59.8	1000Hz
272	60	1000Hz
273	60.2	1000Hz
274	60.4	1000Hz
275	60.6	1000Hz
276	60.8	1000Hz
277	61	1000Hz
278	61.2	1000Hz
279	61.4	1000Hz
280	61.6	1000Hz
281	61.8	1000Hz
282	62	1000Hz
283	62.2	1000Hz
284	62.4	3000Hz
285	62.8	1000Hz
286	63	1000Hz
287	63.2	1000Hz
288	63.4	1000Hz
289	63.6	3000Hz
290	64	1000Hz
291	64.2	3000Hz
292	64.6	1000Hz
293	64.8	1000Hz
294	65	1000Hz
295	65.2	1000Hz
296	65.4	3000Hz
297	65.6	3000Hz
298	65.8	3000Hz
299	66.2	1000Hz
300	66.4	1000Hz
301	66.6	3000Hz
302	66.8	1000Hz
303	67	1000Hz
304	67.2	1000Hz
305	67.4	1000Hz
306	67.6	1000Hz
307	67.8	1000Hz
308	68	1000Hz
309	68.2	1000Hz
310	68.4	1000Hz
311	68.6	1000Hz
312	68.8	1000Hz
313	69	1000Hz
314	69.2	1000Hz
315	69.4	1000Hz
316	69.6	1000Hz
317	69.8	1000Hz
318	70	1000Hz
319	70.2	1000Hz
320	70.4	1000Hz
321	70.6	1000Hz
322	70.8	3000Hz
323	71.2	1000Hz
324	71.4	1000Hz
325	71.6	1000Hz
326	71.8	1000Hz
327	72	1000Hz
328	72.2	3000Hz
329	72.4	3000Hz
330	72.6	1000Hz
331	72.8	3000Hz
332	73	1000Hz
333	73.2	1000Hz
334	73.4	1000Hz
335	73.6	3000Hz
336	73.8	3000Hz
337	74	1000Hz
338	74.2	1000Hz
339	74.4	1000Hz
340	74.6	3000Hz
341	74.8	3000Hz
342	75.2	1000Hz
343	75.4	1000Hz
344	75.6	3000Hz
345	75.8	1000Hz
346	76	1000Hz
347	76.2	1000Hz
348	76.4	1000Hz
349	76.6	3000Hz
350	77	1000Hz
351	77.2	1000Hz
352	77.4	1000Hz
353	77.6	1000Hz
354	77.8	1000Hz
355	78	1000Hz
356	78.2	3000Hz
357	78.4	1000Hz
358	78.6	3000Hz
359	79	1000Hz
360	79.2	1000Hz
361	79.4	1000Hz
362	79.6	1000Hz
363	79.8	1000Hz
364	80	1000Hz
365	80.2	1000Hz
366	80.4	1000Hz
367	80.6	3000Hz
368	80.8	1000Hz
369	81	3000Hz
370	81.2	3000Hz
371	81.4	1000Hz
372	81.6	3000Hz
373	81.8	1000Hz
374	82	1000Hz
375	82.2	1000Hz
376	82.4	1000Hz
377	82.6	1000Hz
378	82.8	1000Hz
379	83	3000Hz
380	83.4	1000Hz
381	83.6	1000Hz
382	83.8	1000Hz
383	84	1000Hz
384	84.2	1000Hz
385	84.4	1000Hz
386	84.6	1000Hz
387	84.8	1000Hz
388	85	1000Hz
389	85.2	1000Hz
390	85.4	3000Hz
391	85.8	1000Hz
392	86	1000Hz
393	86.2	1000Hz
394	86.4	3000Hz
395	86.8	1000Hz
396	87	1000Hz
397	87.2	1000Hz
398	87.4	3000Hz
399	87.8	1000Hz
400	88	3000Hz
401	88.4	3000Hz
402	88.6	1000Hz
403	88.8	1000Hz
404	89	1000Hz
405	89.2	1000Hz
406	89.4	1000Hz
407	89.6	1000Hz
408	89.8	1000Hz
409	90	1000Hz
410	90.2	1000Hz
411	90.4	1000Hz
412	90.6	1000Hz
413	90.8	1000Hz
414	91	3000Hz
415	91.2	1000Hz
416	91.4	3000Hz
417	91.8	1000Hz
418	92	1000Hz
419	92.2	3000Hz
420	92.4	1000Hz
421	92.6	1000Hz
422	92.8	1000Hz
423	93	1000Hz
424	93.2	1000Hz
425	93.4	1000Hz
426	93.6	1000Hz
427	93.8	1000Hz
428	94	1000Hz
429	94.2	1000Hz
430	94.4	1000Hz
431	94.6	1000Hz
432	94.8	1000Hz
433	95	3000Hz
434	95.4	3000Hz
435	95.6	1000Hz
436	95.8	1000Hz
437	96	3000Hz
438	96.4	1000Hz
439	96.6	1000Hz
440	96.8	1000Hz
441	97	1000Hz
442	97.2	3000Hz
443	97.4	3000Hz
444	97.8	1000Hz
445	98	1000Hz
446	98.2	1000Hz
447	98.4	1000Hz
448	98.6	1000Hz
449	98.8	1000Hz
450	99	3000Hz
451	99.2	1000Hz
452	99.4	3000Hz
453	99.6	3000Hz
454	100	1000Hz
455	100.2	1000Hz
456	100.4	1000Hz
457	100.6	1000Hz
458	100.8	3000Hz
459	101.2	1000Hz
460	101.4	1000Hz
461	101.6	1000Hz
462	101.8	1000Hz
463	102	1000Hz
464	102.2	1000Hz
465	102.4	1000Hz
466	102.6	1000Hz
467	102.8	3000Hz
468	103	1000Hz
469	103.2	3000Hz
470	103.4	3000Hz
471	103.8	3000Hz
472	104.2	1000Hz
473	104.4	1000Hz
474	104.6	1000Hz
475	104.8	1000Hz
476	105	1000Hz
477	105.2	1000Hz
478	105.4	3000Hz
479	105.8	1000Hz
480	106	1000Hz
481	106.2	1000Hz
482	106.4	1000Hz
483	106.6	1000Hz
484	106.8	1000Hz
485	107	1000Hz
486	107.2	1000Hz
487	107.4	1000Hz
488	107.6	1000Hz
489	107.8	1000Hz
490	108	1000Hz
491	108.2	3000Hz
492	108.4	3000Hz
493	108.6	1000Hz
494	108.8	1000Hz
495	109	1000Hz
496	109.2	1000Hz
497	109.4	1000Hz
498	109.6	3000Hz
499	109.8	1000Hz
500	110	3000Hz
501	110.2	1000Hz
502	110.4	3000Hz
503	110.6	1000Hz
504	110.8	3000Hz
505	111.2	1000Hz
506	111.4	1000Hz
507	111.6	1000Hz
508	111.8	1000Hz
509	112	1000Hz
510	112.2	3000Hz
511	112.4	1000Hz
512	112.6	1000Hz
513	112.8	3000Hz
514	113	1000Hz
515	113.2	3000Hz
516	113.4	1000Hz
517	113.6	3000Hz
518	114	3000Hz
519	114.4	1000Hz
520	114.6	1000Hz
521	114.8	1000Hz
522	115	1000Hz
523	115.2	1000Hz
524	115.4	1000Hz
525	115.6	1000Hz
526	115.8	1000Hz
527	116	3000Hz
528	116.2	1000Hz
529	116.4	1000Hz
530	116.6	1000Hz
531	116.8	1000Hz
532	117	1000Hz
533	117.2	1000Hz
534	117.4	1000Hz
535	117.6	1000Hz
536	117.8	1000Hz
537	118	1000Hz
538	118.2	1000Hz
539	118.4	1000Hz
540	118.6	1000Hz
541	118.8	1000Hz
542	119	1000Hz
543	119.2	1000Hz
544	119.4	1000Hz
545	119.6	3000Hz
546	120	1000Hz
547	120.2	1000Hz
548	120.4	1000Hz
549	120.6	1000Hz
550	120.8	3000Hz
551	121	1000Hz
552	121.2	1000Hz
553	121.4	1000Hz
554	121.6	3000Hz
555	122	3000Hz
556	122.2	1000Hz
557	122.4	1000Hz
558	122.6	1000Hz
559	122.8	1000Hz
560	123	3000Hz
561	123.4	1000Hz
562	123.6	3000Hz
563	123.8	3000Hz
564	124	1000Hz
565	124.2	3000Hz
566	124.6	1000Hz
567	124.8	1000Hz
568	125	1000Hz
569	125.2	1000Hz
570	125.4	1000Hz
571	125.6	1000Hz
572	125.8	1000Hz
573	126	1000Hz
574	126.2	1000Hz
575	126.4	1000Hz
576	126.6	1000Hz
577	126.8	1000Hz
578	127	3000Hz
579	127.4	1000Hz
580	127.6	1000Hz
581	127.8	1000Hz
582	128	1000Hz
583	128.2	1000Hz
584	128.4	1000Hz
585	128.6	3000Hz
586	128.8	1000Hz
587	129	1000Hz
588	129.2	1000Hz
589	129.4	1000Hz
590	129.6	1000Hz
591	129.8	3000Hz
592	130.2	1000Hz
593	130.4	1000Hz
594	130.6	3000Hz
595	130.8	1000Hz
596	131	1000Hz
597	131.2	1000Hz
598	131.4	1000Hz
599	131.6	1000Hz
600	131.8	1000Hz
