S/N 	 Start (s) 	 Note
258	56.4	1000Hz
259	56.6	1000Hz
260	56.8	1000Hz
261	57	1000Hz
262	57.2	1000Hz
263	57.4	3000Hz
264	57.8	1000Hz
265	58	1000Hz
266	58.2	1000Hz
267	58.4	3000Hz
268	58.6	1000Hz
269	58.8	1000Hz
270	59	3000Hz
271	59.4	1000Hz
272	59.6	1000Hz
273	59.8	1000Hz
274	60	1000Hz
275	60.2	1000Hz
276	60.4	1000Hz
277	60.6	1000Hz
278	60.8	1000Hz
279	61	1000Hz
280	61.2	1000Hz
281	61.4	1000Hz
282	61.6	3000Hz
283	62	1000Hz
284	62.2	1000Hz
285	62.4	1000Hz
286	62.6	1000Hz
287	62.8	1000Hz
288	63	1000Hz
289	63.2	3000Hz
290	63.4	1000Hz
291	63.6	3000Hz
292	64	3000Hz
293	64.4	1000Hz
294	64.6	1000Hz
295	64.8	1000Hz
296	65	1000Hz
297	65.2	1000Hz
298	65.4	1000Hz
299	65.6	1000Hz
300	65.8	1000Hz
301	66	1000Hz
302	66.2	1000Hz
303	66.4	1000Hz
304	66.6	1000Hz
305	66.8	1000Hz
306	67	1000Hz
307	67.2	1000Hz
308	67.4	1000Hz
309	67.6	3000Hz
310	67.8	3000Hz
311	68.2	1000Hz
312	68.4	1000Hz
313	68.6	1000Hz
314	68.8	1000Hz
315	69	1000Hz
316	69.2	1000Hz
317	69.4	1000Hz
318	69.6	1000Hz
319	69.8	1000Hz
320	70	1000Hz
321	70.2	1000Hz
322	70.4	1000Hz
323	70.6	1000Hz
324	70.8	1000Hz
325	71	1000Hz
326	71.2	3000Hz
327	71.4	3000Hz
328	71.6	1000Hz
329	71.8	1000Hz
330	72	3000Hz
331	72.2	1000Hz
332	72.4	3000Hz
333	72.8	3000Hz
334	73	1000Hz
335	73.2	1000Hz
336	73.4	1000Hz
337	73.6	1000Hz
338	73.8	1000Hz
339	74	1000Hz
340	74.2	1000Hz
341	74.4	3000Hz
342	74.6	1000Hz
343	74.8	1000Hz
344	75	1000Hz
345	75.2	1000Hz
346	75.4	1000Hz
347	75.6	3000Hz
348	76	1000Hz
349	76.2	3000Hz
350	76.6	1000Hz
351	76.8	1000Hz
352	77	1000Hz
353	77.2	1000Hz
354	77.4	1000Hz
355	77.6	1000Hz
356	77.8	3000Hz
357	78.2	1000Hz
358	78.4	1000Hz
359	78.6	1000Hz
360	78.8	1000Hz
361	79	1000Hz
362	79.2	1000Hz
363	79.4	1000Hz
364	79.6	1000Hz
365	79.8	1000Hz
366	80	1000Hz
367	80.2	3000Hz
368	80.4	1000Hz
369	80.6	1000Hz
370	80.8	1000Hz
371	81	3000Hz
372	81.4	1000Hz
373	81.6	3000Hz
374	81.8	1000Hz
375	82	1000Hz
376	82.2	1000Hz
377	82.4	1000Hz
378	82.6	1000Hz
379	82.8	3000Hz
380	83.2	1000Hz
381	83.4	3000Hz
382	83.8	1000Hz
383	84	1000Hz
384	84.2	1000Hz
385	84.4	1000Hz
386	84.6	1000Hz
387	84.8	3000Hz
388	85	1000Hz
389	85.2	1000Hz
390	85.4	1000Hz
391	85.6	1000Hz
392	85.8	1000Hz
393	86	1000Hz
394	86.2	1000Hz
395	86.4	1000Hz
396	86.6	1000Hz
397	86.8	1000Hz
398	87	1000Hz
399	87.2	3000Hz
400	87.4	1000Hz
401	87.6	1000Hz
402	87.8	3000Hz
403	88.2	1000Hz
404	88.4	3000Hz
405	88.6	1000Hz
406	88.8	1000Hz
407	89	1000Hz
408	89.2	1000Hz
409	89.4	1000Hz
410	89.6	3000Hz
411	90	1000Hz
412	90.2	1000Hz
413	90.4	3000Hz
414	90.6	1000Hz
415	90.8	1000Hz
416	91	1000Hz
417	91.2	3000Hz
418	91.6	3000Hz
419	92	1000Hz
420	92.2	1000Hz
421	92.4	1000Hz
422	92.6	1000Hz
423	92.8	3000Hz
424	93	1000Hz
425	93.2	3000Hz
426	93.6	1000Hz
427	93.8	1000Hz
428	94	1000Hz
429	94.2	1000Hz
430	94.4	1000Hz
431	94.6	1000Hz
432	94.8	1000Hz
433	95	1000Hz
434	95.2	1000Hz
435	95.4	3000Hz
436	95.6	1000Hz
437	95.8	3000Hz
438	96	1000Hz
439	96.2	3000Hz
440	96.6	1000Hz
441	96.8	1000Hz
442	97	1000Hz
443	97.2	3000Hz
444	97.4	1000Hz
445	97.6	1000Hz
446	97.8	3000Hz
447	98.2	1000Hz
448	98.4	1000Hz
449	98.6	1000Hz
450	98.8	1000Hz
451	99	3000Hz
452	99.2	3000Hz
453	99.6	1000Hz
454	99.8	1000Hz
455	100	1000Hz
456	100.2	3000Hz
457	100.4	1000Hz
458	100.6	1000Hz
459	100.8	1000Hz
460	101	1000Hz
461	101.2	3000Hz
462	101.4	1000Hz
463	101.6	1000Hz
464	101.8	1000Hz
465	102	1000Hz
466	102.2	3000Hz
467	102.6	1000Hz
468	102.8	3000Hz
469	103	1000Hz
470	103.2	1000Hz
471	103.4	1000Hz
472	103.6	1000Hz
473	103.8	1000Hz
474	104	1000Hz
475	104.2	1000Hz
476	104.4	1000Hz
477	104.6	1000Hz
478	104.8	3000Hz
479	105.2	1000Hz
480	105.4	3000Hz
481	105.6	1000Hz
482	105.8	1000Hz
483	106	1000Hz
484	106.2	1000Hz
485	106.4	1000Hz
486	106.6	1000Hz
487	106.8	1000Hz
488	107	1000Hz
489	107.2	3000Hz
490	107.6	1000Hz
491	107.8	1000Hz
492	108	1000Hz
493	108.2	1000Hz
494	108.4	1000Hz
495	108.6	3000Hz
496	108.8	1000Hz
497	109	1000Hz
498	109.2	1000Hz
499	109.4	1000Hz
500	109.6	3000Hz
501	110	1000Hz
502	110.2	1000Hz
503	110.4	1000Hz
504	110.6	1000Hz
505	110.8	1000Hz
506	111	1000Hz
507	111.2	1000Hz
508	111.4	1000Hz
509	111.6	1000Hz
510	111.8	1000Hz
511	112	1000Hz
512	112.2	1000Hz
513	112.4	1000Hz
514	112.6	3000Hz
515	113	3000Hz
516	113.2	1000Hz
517	113.4	1000Hz
518	113.6	1000Hz
519	113.8	1000Hz
520	114	3000Hz
521	114.2	1000Hz
522	114.4	1000Hz
523	114.6	1000Hz
524	114.8	1000Hz
525	115	1000Hz
526	115.2	1000Hz
527	115.4	3000Hz
528	115.8	1000Hz
529	116	3000Hz
530	116.2	1000Hz
531	116.4	1000Hz
532	116.6	1000Hz
533	116.8	3000Hz
534	117	3000Hz
535	117.4	1000Hz
536	117.6	3000Hz
537	117.8	1000Hz
538	118	1000Hz
539	118.2	1000Hz
540	118.4	1000Hz
541	118.6	3000Hz
542	118.8	1000Hz
543	119	1000Hz
544	119.2	1000Hz
545	119.4	1000Hz
546	119.6	1000Hz
547	119.8	1000Hz
548	120	1000Hz
549	120.2	1000Hz
550	120.4	3000Hz
551	120.6	3000Hz
552	121	1000Hz
553	121.2	1000Hz
554	121.4	1000Hz
555	121.6	3000Hz
556	122	1000Hz
557	122.2	1000Hz
558	122.4	1000Hz
559	122.6	1000Hz
560	122.8	1000Hz
561	123	1000Hz
562	123.2	3000Hz
563	123.4	1000Hz
564	123.6	1000Hz
565	123.8	1000Hz
566	124	3000Hz
567	124.2	3000Hz
568	124.4	3000Hz
569	124.8	1000Hz
570	125	1000Hz
571	125.2	1000Hz
572	125.4	1000Hz
573	125.6	1000Hz
574	125.8	1000Hz
575	126	3000Hz
576	126.4	1000Hz
577	126.6	1000Hz
578	126.8	1000Hz
579	127	1000Hz
580	127.2	1000Hz
581	127.4	3000Hz
582	127.8	1000Hz
583	128	1000Hz
584	128.2	3000Hz
585	128.6	1000Hz
586	128.8	3000Hz
587	129	1000Hz
588	129.2	1000Hz
589	129.4	1000Hz
590	129.6	1000Hz
591	129.8	1000Hz
592	130	1000Hz
593	130.2	1000Hz
594	130.4	1000Hz
595	130.6	3000Hz
596	131	3000Hz
597	131.2	1000Hz
598	131.4	1000Hz
599	131.6	1000Hz
600	131.8	1000Hz
