S/N 	 Start (s) 	 Note
309	66.2	3000Hz
310	66.4	1000Hz
311	66.6	1000Hz
312	66.8	1000Hz
313	67	1000Hz
314	67.2	3000Hz
315	67.6	1000Hz
316	67.8	1000Hz
317	68	1000Hz
318	68.2	1000Hz
319	68.4	1000Hz
320	68.6	3000Hz
321	68.8	1000Hz
322	69	1000Hz
323	69.2	1000Hz
324	69.4	1000Hz
325	69.6	1000Hz
326	69.8	1000Hz
327	70	3000Hz
328	70.4	3000Hz
329	70.8	3000Hz
330	71.2	1000Hz
331	71.4	1000Hz
332	71.6	1000Hz
333	71.8	1000Hz
334	72	1000Hz
335	72.2	1000Hz
336	72.4	3000Hz
337	72.8	1000Hz
338	73	1000Hz
339	73.2	1000Hz
340	73.4	1000Hz
341	73.6	1000Hz
342	73.8	1000Hz
343	74	1000Hz
344	74.2	1000Hz
345	74.4	1000Hz
346	74.6	1000Hz
347	74.8	1000Hz
348	75	1000Hz
349	75.2	1000Hz
350	75.4	1000Hz
351	75.6	1000Hz
352	75.8	1000Hz
353	76	3000Hz
354	76.2	3000Hz
355	76.4	1000Hz
356	76.6	1000Hz
357	76.8	1000Hz
358	77	1000Hz
359	77.2	1000Hz
360	77.4	1000Hz
361	77.6	1000Hz
362	77.8	1000Hz
363	78	1000Hz
364	78.2	1000Hz
365	78.4	1000Hz
366	78.6	3000Hz
367	79	1000Hz
368	79.2	1000Hz
369	79.4	1000Hz
370	79.6	1000Hz
371	79.8	3000Hz
372	80	1000Hz
373	80.2	1000Hz
374	80.4	1000Hz
375	80.6	1000Hz
376	80.8	1000Hz
377	81	1000Hz
378	81.2	1000Hz
379	81.4	1000Hz
380	81.6	1000Hz
381	81.8	1000Hz
382	82	1000Hz
383	82.2	1000Hz
384	82.4	1000Hz
385	82.6	3000Hz
386	82.8	3000Hz
387	83	3000Hz
388	83.4	1000Hz
389	83.6	1000Hz
390	83.8	1000Hz
391	84	1000Hz
392	84.2	1000Hz
393	84.4	1000Hz
394	84.6	3000Hz
395	85	1000Hz
396	85.2	1000Hz
397	85.4	1000Hz
398	85.6	1000Hz
399	85.8	1000Hz
400	86	1000Hz
401	86.2	1000Hz
402	86.4	1000Hz
403	86.6	1000Hz
404	86.8	3000Hz
405	87	3000Hz
406	87.4	1000Hz
407	87.6	3000Hz
408	88	1000Hz
409	88.2	3000Hz
410	88.6	3000Hz
411	89	1000Hz
412	89.2	3000Hz
413	89.4	1000Hz
414	89.6	1000Hz
415	89.8	1000Hz
416	90	1000Hz
417	90.2	1000Hz
418	90.4	1000Hz
419	90.6	3000Hz
420	91	1000Hz
421	91.2	1000Hz
422	91.4	1000Hz
423	91.6	1000Hz
424	91.8	1000Hz
425	92	1000Hz
426	92.2	1000Hz
427	92.4	1000Hz
428	92.6	1000Hz
429	92.8	1000Hz
430	93	1000Hz
431	93.2	1000Hz
432	93.4	3000Hz
433	93.6	1000Hz
434	93.8	3000Hz
435	94	3000Hz
436	94.2	1000Hz
437	94.4	1000Hz
438	94.6	1000Hz
439	94.8	1000Hz
440	95	1000Hz
441	95.2	3000Hz
442	95.4	1000Hz
443	95.6	1000Hz
444	95.8	1000Hz
445	96	1000Hz
446	96.2	1000Hz
447	96.4	1000Hz
448	96.6	1000Hz
449	96.8	1000Hz
450	97	1000Hz
451	97.2	1000Hz
452	97.4	1000Hz
453	97.6	1000Hz
454	97.8	1000Hz
455	98	1000Hz
456	98.2	1000Hz
457	98.4	1000Hz
458	98.6	1000Hz
459	98.8	1000Hz
460	99	1000Hz
461	99.2	3000Hz
462	99.6	1000Hz
463	99.8	1000Hz
464	100	1000Hz
465	100.2	1000Hz
466	100.4	3000Hz
467	100.8	3000Hz
468	101.2	1000Hz
469	101.4	3000Hz
470	101.6	1000Hz
471	101.8	1000Hz
472	102	1000Hz
473	102.2	1000Hz
474	102.4	1000Hz
475	102.6	3000Hz
476	103	3000Hz
477	103.4	1000Hz
478	103.6	1000Hz
479	103.8	1000Hz
480	104	1000Hz
481	104.2	1000Hz
482	104.4	1000Hz
483	104.6	1000Hz
484	104.8	1000Hz
485	105	1000Hz
486	105.2	3000Hz
487	105.6	1000Hz
488	105.8	1000Hz
489	106	1000Hz
490	106.2	1000Hz
491	106.4	1000Hz
492	106.6	1000Hz
493	106.8	1000Hz
494	107	1000Hz
495	107.2	3000Hz
496	107.4	3000Hz
497	107.8	1000Hz
498	108	1000Hz
499	108.2	1000Hz
500	108.4	3000Hz
501	108.8	1000Hz
502	109	3000Hz
503	109.2	1000Hz
504	109.4	1000Hz
505	109.6	1000Hz
506	109.8	1000Hz
507	110	1000Hz
508	110.2	1000Hz
509	110.4	1000Hz
510	110.6	3000Hz
511	111	1000Hz
512	111.2	1000Hz
513	111.4	1000Hz
514	111.6	3000Hz
515	111.8	3000Hz
516	112	1000Hz
517	112.2	1000Hz
518	112.4	1000Hz
519	112.6	1000Hz
520	112.8	3000Hz
521	113	1000Hz
522	113.2	1000Hz
523	113.4	1000Hz
524	113.6	1000Hz
525	113.8	1000Hz
526	114	1000Hz
527	114.2	1000Hz
528	114.4	1000Hz
529	114.6	1000Hz
530	114.8	1000Hz
531	115	1000Hz
532	115.2	1000Hz
533	115.4	1000Hz
534	115.6	1000Hz
535	115.8	1000Hz
536	116	3000Hz
537	116.2	3000Hz
538	116.6	1000Hz
539	116.8	1000Hz
540	117	1000Hz
541	117.2	1000Hz
542	117.4	3000Hz
543	117.6	1000Hz
544	117.8	1000Hz
545	118	1000Hz
546	118.2	3000Hz
547	118.6	1000Hz
548	118.8	3000Hz
549	119.2	1000Hz
550	119.4	1000Hz
551	119.6	1000Hz
552	119.8	3000Hz
553	120.2	1000Hz
554	120.4	1000Hz
555	120.6	1000Hz
556	120.8	3000Hz
557	121.2	1000Hz
558	121.4	1000Hz
559	121.6	1000Hz
560	121.8	1000Hz
561	122	3000Hz
562	122.4	1000Hz
563	122.6	1000Hz
564	122.8	1000Hz
565	123	3000Hz
566	123.4	3000Hz
567	123.8	3000Hz
568	124	3000Hz
569	124.4	1000Hz
570	124.6	1000Hz
571	124.8	1000Hz
572	125	3000Hz
573	125.4	1000Hz
574	125.6	1000Hz
575	125.8	1000Hz
576	126	1000Hz
577	126.2	1000Hz
578	126.4	1000Hz
579	126.6	1000Hz
580	126.8	3000Hz
581	127.2	1000Hz
582	127.4	1000Hz
583	127.6	1000Hz
584	127.8	3000Hz
585	128.2	1000Hz
586	128.4	3000Hz
587	128.8	1000Hz
588	129	3000Hz
589	129.4	3000Hz
590	129.6	1000Hz
591	129.8	1000Hz
592	130	1000Hz
593	130.2	1000Hz
594	130.4	1000Hz
595	130.6	1000Hz
596	130.8	1000Hz
597	131	1000Hz
598	131.2	1000Hz
599	131.4	3000Hz
600	131.8	1000Hz
